Group	id	weight	day
3	22	190	2
3	22	388	5
3	22	621	8
3	22	823	11
3	22	1078	14
3	22	1132	17
3	22	1191	20
3	23	218	2
3	23	393	5
3	23	568	8
3	23	729	11
3	23	839	14
3	23	852	17
3	23	1004	20
3	24	141	2
3	24	260	5
3	24	472	8
3	24	662	11
3	24	760	14
3	24	885	17
3	24	878	20
3	25	211	2
3	25	394	5
3	25	549	8
3	25	700	11
3	25	783	14
3	25	870	17
3	25	925	20
3	26	209	2
3	26	419	5
3	26	645	8
3	26	850	11
3	26	1001	14
3	26	1026	17
3	26	1069	20
3	27	193	2
3	27	362	5
3	27	520	8
3	27	530	11
3	27	641	14
3	27	640	17
3	27	751	20
3	28	201	2
3	28	361	5
3	28	502	8
3	28	530	11
3	28	657	14
3	28	762	17
3	28	888	20
3	29	202	2
3	29	370	5
3	29	498	8
3	29	650	11
3	29	795	14
3	29	858	17
3	29	910	20
3	30	190	2
3	30	350	5
3	30	510	8
3	30	666	11
3	30	819	14
3	30	879	17
3	30	929	20
3	31	219	2
3	31	399	5
3	31	578	8
3	31	699	11
3	31	709	14
3	31	822	17
3	31	953	20
3	32	225	2
3	32	400	5
3	32	545	8
3	32	690	11
3	32	796	14
3	32	825	17
3	32	836	20
3	33	224	2
3	33	381	5
3	33	577	8
3	33	756	11
3	33	869	14
3	33	929	17
3	33	999	20
4	34	187	2
4	34	329	5
4	34	441	8
4	34	525	11
4	34	589	14
4	34	621	17
4	34	796	20
4	35	278	2
4	35	471	5
4	35	606	8
4	35	770	11
4	35	888	14
4	35	1001	17
4	35	1105	20
